Time,Open,High,Low,Last,Change,%Chg,Volume
2024-05-10,237.88,238.03,236.1,236.78,-0.95,-0.40%,63229068
2024-05-09,235.36,237.91,235.04,237.73,5.37,+2.31%,78055403
2024-05-08,233.08,233.1,231.77,232.36,-2.12,-0.90%,67061280
2024-05-07,233.99,235.04,233.02,234.48,2.47,+1.06%,66560782
2024-05-06,233.57,233.68,230.9,232.01,-0.05,-0.02%,66431969
2024-05-03,234.14,235.33,231.42,232.06,1.89,+0.82%,86216292
2024-05-02,229.23,230.47,226.52,230.17,3.12,+1.37%,102467910
2024-05-01,226.54,230.97,226.14,227.05,0.28,+0.12%,89944162
2024-04-30,228.83,230.44,226.7,226.77,-4.26,-1.84%,94437217
2024-04-29,230.2,231.51,229.65,231.03,2.46,+1.08%,68971457
2024-04-26,228.55,230.75,228.29,228.57,0.16,+0.07%,67050642
2024-04-25,227.8,228.81,225.89,228.41,-1.19,-0.52%,67866672
2024-04-24,228.21,230.05,226.75,229.6,0.94,+0.41%,70515983
2024-04-23,227.42,229.5,226.85,228.66,1.97,+0.87%,73408133
2024-04-22,225.45,227.24,224.29,226.69,1.72,+0.76%,71267182
2024-04-19,224.92,225.92,224.03,224.97,0.9,+0.40%,74771193
2024-04-18,224.78,225.3,222.97,224.07,0.05,+0.02%,67606737
2024-04-17,225.01,226.22,223.96,224.02,-1.8,-0.80%,74339097
2024-04-16,228.54,228.57,225.17,225.82,-3.51,-1.53%,74829564
2024-04-15,234.63,234.95,227.85,229.33,-4.14,-1.77%,64788404
2024-04-12,234.81,234.95,232.57,233.47,-2.46,-1.04%,69294416
2024-04-11,237.01,237.58,233.93,235.93,0.07,+0.03%,75620718
2024-04-10,239.1,239.1,234.38,235.86,-10.09,-4.10%,82068541
2024-04-09,243.94,245.99,243.35,245.95,3.13,+1.29%,59650852
2024-04-08,241.49,243.08,241.13,242.82,1.97,+0.82%,61390297
2024-04-05,238.37,241.39,238.27,240.85,1.55,+0.65%,61520300
2024-04-04,243.63,244.42,238.69,239.3,-1.87,-0.78%,59934324
2024-04-03,240.74,241.59,239.73,241.17,0.14,+0.06%,58625386
2024-04-02,241.9,242.07,240.2,241.03,-2.73,-1.12%,63219441
2024-04-01,248.19,248.22,243.42,243.76,-4.4,-1.77%,61839888
2024-03-28,247.61,248.6,247.1,248.16,1.7,+0.69%,79114740
2024-03-27,242.7,246.48,242.59,246.46,5.82,+2.42%,76014008
2024-03-26,241.53,242.32,240.59,240.64,-1.09,-0.45%,66141032
2024-03-25,243.11,243.77,241.58,241.73,-1.01,-0.42%,61716792
2024-03-22,246.03,246.03,242.44,242.74,-3.05,-1.24%,67176389
2024-03-21,245.76,246.94,244.18,245.79,1.06,+0.43%,75138341
2024-03-20,241.57,245.29,241.02,244.73,0.94,+0.39%,64422578
2024-03-19,243.85,244.57,242.26,243.79,0.01,0.00%,61725327
2024-03-18,244.12,245.31,243.46,243.78,-0.04,-0.02%,69659241
2024-03-15,241.78,244.33,241.78,243.82,-0.22,-0.09%,143322543
2024-03-14,246.66,246.99,241.91,244.04,-3.99,-1.61%,85531582
2024-03-13,249.04,250.5,247.3,248.03,-1.51,-0.61%,68139227
2024-03-12,249.39,250.57,247.51,249.54,-0.91,-0.36%,61601136
2024-03-11,250.87,252.48,249.28,250.45,-1.23,-0.49%,60401145
2024-03-08,250.49,252.26,250.34,251.68,2.82,+1.13%,69900460
2024-03-07,250.2,250.63,247.44,248.86,-0.12,-0.05%,65020441
2024-03-06,249.27,249.65,247.73,248.98,1.36,+0.55%,67796668
2024-03-05,249.67,251.45,246.61,247.62,-3.1,-1.24%,81175819
2024-03-04,247.63,250.97,245.76,250.72,2.65,+1.07%,85183176
2024-03-01,244.36,248.18,242.25,248.07,2.66,+1.08%,83887475
2024-02-29,245.18,246.61,244.36,245.41,2.06,+0.85%,181966701
2024-02-28,239.31,244.41,239.1,243.35,3.08,+1.28%,81574432
2024-02-27,241.53,242.36,239.59,240.27,0.09,+0.04%,75990636
2024-02-26,242.25,243.75,239.94,240.18,-2.77,-1.14%,71630888
2024-02-23,242.92,244.25,242.34,242.95,0.24,+0.10%,69143045
2024-02-22,243.06,243.96,242.05,242.71,0.59,+0.24%,89388339
2024-02-21,241.43,242.42,240.4,242.12,1.73,+0.72%,86793333
2024-02-20,239.64,241.61,238.68,240.39,-0.43,-0.18%,85617287
2024-02-16,239.95,242.03,239.41,240.82,-2.41,-0.99%,83622969
2024-02-15,239.74,243.52,239.6,243.23,5.61,+2.36%,76342972
2024-02-14,236.78,238.95,235.72,237.62,1.66,+0.70%,84318793
2024-02-13,234.91,236.05,232.83,235.96,-4.41,-1.83%,92643869
2024-02-12,241.89,242.6,239.96,240.37,-0.89,-0.37%,63117247
2024-02-09,240.03,241.33,238.4,241.26,0.68,+0.28%,78973834
2024-02-08,238.5,241.09,238.41,240.58,1.35,+0.56%,68649228
2024-02-07,240.01,240.59,237.93,239.23,-0.14,-0.06%,71603843
2024-02-06,235.98,239.7,235.6,239.37,3.52,+1.49%,73252436
2024-02-05,237.4,237.64,235.13,235.85,-4.8,-1.99%,77999775
2024-02-02,240.89,242.15,236.58,240.65,-3.08,-1.26%,85346591
2024-02-01,238.89,243.73,238.07,243.73,4.19,+1.75%,89106660
2024-01-31,242.27,244.1,238.9,239.54,-1.71,-0.71%,118585486
2024-01-30,242.39,243.28,240.81,241.25,-2.22,-0.91%,77646835
2024-01-29,241.62,243.71,241.23,243.47,1.64,+0.68%,68530172
2024-01-26,243.27,243.63,241.33,241.83,-0.9,-0.37%,62583985
2024-01-25,243.06,243.61,241.63,242.73,3.13,+1.31%,75314290
2024-01-24,245.03,245.35,239.4,239.6,-3.3,-1.36%,74017157
2024-01-23,245.41,245.73,242.08,242.9,-1.24,-0.51%,73726360
2024-01-22,244.05,246.8,243.32,244.14,1.07,+0.44%,108950675
2024-01-19,241.18,243.95,239.7,243.07,2.32,+0.96%,90415311
2024-01-18,242.45,243.24,239.25,240.75,-1.48,-0.61%,83572086
2024-01-17,243.48,246.64,239.8,242.23,-4.62,-1.87%,78413620
2024-01-16,247.39,248.39,246.08,246.85,-1.52,-0.61%,84252938
2024-01-12,248.98,249.52,247.02,248.37,1.93,+0.78%,67862969
2024-01-11,247.49,248.17,245.42,246.44,-2.38,-0.96%,75481721
2024-01-10,248.92,249.99,247.99,248.82,0.33,+0.13%,72177179
2024-01-09,248.04,249.63,246.99,248.49,-1.84,-0.74%,64814535
2024-01-08,246.29,250.45,246.24,250.33,3.53,+1.43%,70648978
2024-01-05,245.68,248.91,244.66,246.8,-0.48,-0.19%,67077671
2024-01-04,247.11,249.12,246.47,247.28,-0.67,-0.27%,70603532
2024-01-03,251.68,251.68,247.55,247.95,-5.97,-2.35%,69158244
2024-01-02,250.87,254.07,250.06,253.92,2.34,+0.93%,69572682
2023-12-29,252.9,253.84,251.42,251.58,-2.99,-1.17%,79318417
2023-12-28,252.78,254.58,252.55,254.57,1.35,+0.53%,47534256
2023-12-27,251.83,253.23,251.31,253.22,1.16,+0.46%,53936401
2023-12-26,250.1,252.65,250.05,252.06,1.96,+0.78%,44099509
2023-12-22,250.02,251.87,249.11,250.1,0.8,+0.32%,59122257
2023-12-21,249.15,249.82,246.71,249.3,2.27,+0.92%,71352068
2023-12-20,250.17,251.93,246.95,247.03,-3.29,-1.31%,74537909
2023-12-19,249.78,251.04,249.59,250.32,1.73,+0.70%,75610744
2023-12-18,250.56,250.57,248.32,248.59,-0.88,-0.35%,84091111
2023-12-15,251.14,251.63,247.23,249.47,-3.14,-1.24%,185413023
2023-12-14,250.68,254.19,250.68,252.61,6.46,+2.62%,142260325
2023-12-13,237.9,246.97,237.13,246.15,8.5,+3.58%,97509198
2023-12-12,237.55,238.28,236.29,237.65,-0.11,-0.05%,76450421
2023-12-11,236.24,238.18,235.98,237.76,0.77,+0.32%,74245661
2023-12-08,236.95,237.77,234.57,236.99,-0.54,-0.23%,77617698
2023-12-07,237.49,238.54,236.5,237.53,0.22,+0.09%,74555905
2023-12-06,239.46,240.57,237.2,237.31,-0.81,-0.34%,85241728
2023-12-05,238.38,238.41,236.72,238.12,-1.08,-0.45%,82409927
2023-12-04,236.86,239.26,236.28,239.2,1.27,+0.53%,82309128
2023-12-01,232.67,238.04,232.36,237.93,4.91,+2.11%,83161816
2023-11-30,230.98,233.14,230.27,233.02,1.91,+0.83%,129245130
2023-11-29,231.2,232.94,230.9,231.11,1.68,+0.73%,78256465
2023-11-28,227.46,229.67,226.68,229.43,1.18,+0.52%,66621020
2023-11-27,227.3,229.49,226.77,228.25,0.86,+0.38%,65167538
2023-11-24,226.03,227.39,225.05,227.39,0.82,+0.36%,23054304
2023-11-22,228.03,228.14,225.67,226.57,0.83,+0.37%,49897369
2023-11-21,225.96,226.59,225.19,225.74,-1.07,-0.47%,59467917
2023-11-20,224.75,226.85,223.08,226.81,1.78,+0.79%,69425411
2023-11-17,227.24,227.24,224.42,225.03,-0.44,-0.20%,78893329
2023-11-16,226.18,226.57,224.85,225.47,0.07,+0.03%,75520756
2023-11-15,224.7,227.39,224.7,225.4,0.37,+0.16%,81066918
2023-11-14,220.64,226.73,220.64,225.03,11.37,+5.32%,101530040
2023-11-13,213.86,214.35,212.37,213.66,-1.77,-0.82%,64819362
2023-11-10,214.65,215.77,212.63,215.43,2.34,+1.10%,70158272
2023-11-09,217,217,212.78,213.09,-3.26,-1.51%,73656250
2023-11-08,215.83,216.88,215.3,216.35,1.24,+0.58%,69468505
2023-11-07,217.33,217.33,214.94,215.11,-1.9,-0.88%,72395663
2023-11-06,219.33,219.72,215.87,217.01,-3.11,-1.41%,76041861
2023-11-03,218.6,223.27,218.6,220.12,5.06,+2.35%,87915048
2023-11-02,212.2,215.92,212.2,215.06,6.45,+3.09%,98931564
2023-11-01,207.86,208.73,206.3,208.61,1.06,+0.51%,94377872
2023-10-31,204.7,207.64,203.31,207.55,4.14,+2.04%,110840758
2023-10-30,203.92,205.04,200.6,203.41,0.62,+0.31%,128619270
2023-10-27,206.25,206.25,202.12,202.79,-3.3,-1.60%,85463498
2023-10-26,202.3,207.46,202.3,206.09,4.34,+2.15%,95045802
2023-10-25,203.87,204.63,201.28,201.75,-4.26,-2.07%,75520823
