Time,Open,High,Low,Last,Change,%Chg,Volume
2015-04-06,684.96,697.92,683.8,696.43,6.81,+0.99%,0
2015-04-02,690.1,692.8,688.33,689.62,-0.44,-0.06%,0
2015-04-01,693.12,693.89,686.13,690.06,-3.06,-0.44%,0
2015-03-31,699.7,699.7,693.12,693.12,-6.58,-0.94%,0
2015-03-30,691.69,700.3,691.69,699.7,8.01,+1.16%,0
2015-03-27,690.41,693.5,687.11,691.69,1.14,+0.17%,0
2015-03-26,685.58,693.93,683.14,690.55,0.44,+0.06%,0
2015-03-25,709,709.01,690.11,690.11,-18.9,-2.67%,0
2015-03-24,711.01,713.98,709.01,709.01,-2.08,-0.29%,0
2015-03-23,711.89,714.74,710.46,711.09,0.63,+0.09%,0
2015-03-20,710.26,714.58,707.3,710.46,3.74,+0.53%,0
2015-03-19,707.93,709.98,706.31,706.72,-1.21,-0.17%,0
2015-03-18,699.06,710.78,695.2,707.93,8.86,+1.27%,0
2015-03-17,697.67,700.84,695.54,699.07,0.39,+0.06%,0
2015-03-16,692.84,698.79,690.31,698.68,8.37,+1.21%,0
2015-03-13,693.17,694.85,686.06,690.31,-3.64,-0.52%,0
2015-03-12,690.3,694.36,687.32,693.95,3.65,+0.53%,0
2015-03-11,695.12,697.41,689.95,690.3,-4.82,-0.69%,0
2015-03-10,710.62,710.62,695.12,695.12,-15.54,-2.19%,0
2015-03-09,707.2,713.79,706.86,710.66,3.48,+0.49%,0
2015-03-06,715.41,717.07,705.79,707.18,-8.23,-1.15%,0
2015-03-05,716.29,717.9,712.83,715.41,-0.88,-0.12%,0
2015-03-04,716.54,718.63,712.1,716.29,-2.34,-0.33%,0
2015-03-03,724.36,724.36,715.32,718.63,-5.76,-0.80%,0
2015-03-02,717.41,724.39,717.41,724.39,6.98,+0.97%,0
2015-02-27,720.27,721.99,716.94,717.41,-3.83,-0.53%,0
2015-02-26,716.87,721.7,716.17,721.24,4.79,+0.67%,0
2015-02-25,717.93,721.28,714.62,716.45,-4.83,-0.67%,0
2015-02-24,720.13,722.51,715.61,721.28,1.15,+0.16%,0
2015-02-23,718.75,720.14,715.83,720.13,1.13,+0.16%,0
2015-02-20,714.47,719.63,711.3,719,4.49,+0.63%,0
2015-02-19,711.67,715.27,709.62,714.51,2.84,+0.40%,0
2015-02-18,709.13,712.11,708.82,711.67,1.11,+0.16%,0
2015-02-17,710.59,711.04,708.27,710.56,-0.03,0.00%,0
2015-02-13,705.57,710.6,705.57,710.59,5.02,+0.71%,0
2015-02-12,694.19,705.57,694.19,705.57,11.38,+1.64%,0
2015-02-11,691.81,695.62,690.75,694.19,2.93,+0.42%,0
2015-02-10,680.46,691.98,680.46,691.26,10.8,+1.59%,0
